date,close,volume,open,high,low
5/1/2014,54.6,3567380,52.97,56.77,52.605
4/30/2014,53.25,3187786,52,53.5,51.7
4/29/2014,52.63,5080719,52.99,53.65,51.6
4/28/2014,52.9,4772291,55.48,56.14,50.75
4/25/2014,55.4,3551336,57.22,58.27,55.01
4/24/2014,58.32,3404022,60.1,60.25,57.26
4/23/2014,59.22,3823948,60.83,60.87,58.25
4/22/2014,60.91,6065540,57.41,61.9,57.282
4/21/2014,57.13,3109244,57.22,57.75,55.56
4/17/2014,56.72,4890550,57.2,58.64,55.76
4/16/2014,56.11,4271070,54.43,56.23,52.761
4/15/2014,53.43,5748187,54,55.03,50.5
4/14/2014,54.04,4079502,55,56.5,52.68
4/11/2014,53.7,5870053,53.26,56.929,53.03
4/10/2014,55.13,6993975,59.29,60.35,54.99
4/9/2014,57.51,5017647,56.65,57.57,55.05
4/8/2014,55.9,5324200,54.19,56.5,53.8
4/7/2014,54.3,8163189,57.07,59.01,53.02
4/4/2014,59.08,7680967,61.98,63.68,58.15
4/3/2014,60.5,4864877,63.45,64.77,59.5
4/2/2014,63.75,4025546,65.47,65.78,63
4/1/2014,65.01,4534123,62.79,65.01,62.12
3/31/2014,62.62,3647997,63.07,63.76,60.63
3/28/2014,61.38,4894877,63.45,64.28,61
3/27/2014,60.74,5328299,59.295,61.85,56.62
3/26/2014,60.12,5234097,63.61,65.04,60.03
3/25/2014,63.2601,6010408,64.15,65.7,62.55
3/24/2014,62.58,9791317,64.02,64.68,58.74
3/21/2014,65.05,8513365,69.61,70,64.641
3/20/2014,69.55,5117393,72.58,74.09,69.17
3/19/2014,72.7,8619345,76.17,76.75,70.9
3/18/2014,77.1,5196263,74.74,77.43,73.75
3/17/2014,73.7,3218242,75.28,76.71,73.4
3/14/2014,73.79,3510515,73.56,74.9,72.66
3/13/2014,74.08,5935859,78.99,79.34,72.5
3/12/2014,78.5,5976330,74.37,78.5,74
3/11/2014,73.35,4783421,75.35,77.1,72.18
3/10/2014,75.65,4147411,76.37,77.9,74.39
3/7/2014,77.8,4858297,80.55,80.9285,76.25
3/6/2014,80.07,5255695,81.48,82.37,79.21
3/5/2014,80.42,7012697,82.98,83.6,77.5201
3/4/2014,82.64,5862674,84.08,86.34,82.21
3/3/2014,83.26,4394145,83.027,83.92,81.01
2/28/2014,84.96,6303271,86.93,88.2299,82
2/27/2014,86.14,5362850,87,87.55,83.68
2/26/2014,84.93,9047147,83.54,88.35,81.18
2/25/2014,81.18,12763020,76.82,83.79,76
2/24/2014,78.55,7091823,76.51,78.87,75.46
2/21/2014,75.86,3812011,76.5,77.4,74.91
2/20/2014,75.52,3318920,76.623,76.77,74.39
2/19/2014,74.01,6231361,78.58,78.9,73.74
2/18/2014,79.95,5808443,75.41,79.99,75
2/14/2014,74,3441493,75.7,76.4,73.1
2/13/2014,75.87,4167164,70.34,76.25,69.4
2/12/2014,71.42,2517184,71.38,71.98,70.37
2/11/2014,70.03,3426748,73.75,74,69.97
2/10/2014,72.9,4179744,72.75,75.29,72.65
2/7/2014,71.31,3235592,70.37,71.4,67.65
2/6/2014,68.78,2216391,70.11,71.37,68.2
2/5/2014,69.48,4766523,71.5,72,65.61
2/4/2014,72.21,2727627,71.52,72.8,70.33
2/3/2014,69.83,3777971,74.42,75.75,69.01
1/31/2014,74.09,2274391,74.31,76.03,73.5
1/30/2014,75.701,3690942,73.8,77.5,73.24
1/29/2014,72.1,2723972,72.49,74.2,71.5
1/28/2014,74.07,3232306,71.29,74.13,71
1/27/2014,69.94,4586765,69.35,72,66.78
1/24/2014,70.48,4341125,72.22,72.91,69.21
1/23/2014,73.89,2838859,73.72,73.9,71.72
1/22/2014,74.57,3434728,75.84,76.76,74.15
1/21/2014,75.14,4323746,72.875,75.88,71.84
1/17/2014,75.11,7529457,78.31,79.86,74.45
1/16/2014,76.8,11217320,71.8,77.24,71.57
1/15/2014,68.5,5653244,67.94,69.5,66.62
1/14/2014,65.55,4426906,63.05,66.6,61.34
1/13/2014,62.52,5135411,66.76,66.799,61.17
1/10/2014,66.8,3405746,67.55,68.46,65.9
1/9/2014,67.49,7667579,68.82,69.91,65.34
1/8/2014,66.18,3743572,63.27,66.6,63.27
1/7/2014,63.72,4709630,64,64.67,62.65
1/6/2014,63.61,10376200,65.1,67.14,63.04
1/3/2014,59.27,3234658,59.81,61.2,57.7
1/2/2014,59.71,4243196,56.54,60.52,55.56
12/31/2013,56.82,1798829,57.39,57.69,55.67
12/30/2013,57.35,2313040,57.02,58.46,56.75
12/27/2013,56.93,2654774,57.6,58.75,56.81
12/26/2013,57.26,3133816,56.28,59,56.28
12/24/2013,56.13,1348894,56.73,57.98,55.82
12/23/2013,56.5,2285905,56.08,56.79,54.61
12/20/2013,55.8,4063504,57.75,58.1,55.6
12/19/2013,56.9,7375081,52.65,58,52.22
12/18/2013,52.79,3511744,52.55,53.29,51.02
12/17/2013,52.41,5348028,51.68,53.89,51.57
12/16/2013,51.79,2505640,51.5,52.33,50.61
12/13/2013,51.16,3449036,52.31,54,50.9
12/12/2013,52.27,3711868,50.42,53.19,49.45
12/11/2013,51.08,2305497,52.92,53.5,51
12/10/2013,53.37,3365573,51.19,53.68,50.571
12/9/2013,51.83,3430194,53.5,54.27,51.3
12/6/2013,53.72,4003901,54.56,55.69,52.5301
12/5/2013,53.89,5635268,53.68,55.65,53.23
12/4/2013,52.17,3323993,51.94,53.75,51.38
12/3/2013,52.46,3749013,51.33,52.65,50.51
12/2/2013,50.86,4420118,50.89,53.04,50.56
11/29/2013,52.28,4895368,49.37,52.3,49.25
11/27/2013,49.07,5253594,45.31,49.1,44.47
11/26/2013,45.24,4435690,44.07,46.184,42.38
11/25/2013,44.71,4946345,48,48.45,43.7
11/22/2013,46.59,3498001,48.37,49.19,46.01
