Year,Month/2015,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total_Capacity_MW
2015,3,MA,59647,Sunrun Inc.,Preliminary,15.395,0,0,0,15.395
2015,3,MD,57313,SolarCity Corporation,Preliminary,29.288,6.362,0.000,0.000,35.650
2015,3,MD,59139,SunEdison LLC,Preliminary,0,8.102,0,0,8.102
2015,3,MD,59579,Sunnova,Preliminary,0.050,0,0,0,0.050
2015,3,MD,59624,"Vivint Solar, Inc.",Preliminary,22.376,0.000,0.000,0.000,22.376
2015,3,MD,59647,Sunrun Inc.,Preliminary,0.850,0,0,0,0.850
2015,3,ME,57313,SolarCity Corporation,Preliminary,0.000,1.015,0.000,0.000,1.020
2015,3,MO,59579,Sunnova,Preliminary,0.015,0,0,0,0.015
2015,3,NJ,57313,SolarCity Corporation,Preliminary,20.039,0.792,0.000,0.000,20.830
2015,3,NJ,59139,SunEdison LLC,Preliminary,0,55.438,1.380,0,56.818
2015,3,NJ,59579,Sunnova,Preliminary,10.757,0,0,0,10.757
2015,3,NJ,59580,"SunPower Capital, LLC",Preliminary,7.170,0,0,0,7.170
2015,3,NJ,59624,"Vivint Solar, Inc.",Preliminary,19.898,0.000,0.000,0.000,19.898
2015,3,NJ,59647,Sunrun Inc.,Preliminary,16.757,0,0,0,16.757
2015,3,NM,57313,SolarCity Corporation,Preliminary,0.015,3.113,0.000,0.000,3.120
2015,3,NM,59579,Sunnova,Preliminary,0.493,0,0,0,0.493
2015,3,NV,57313,SolarCity Corporation,Preliminary,9.173,0.336,0.000,0.000,9.510
2015,3,NV,59139,SunEdison LLC,Preliminary,0,1.165,0,0,1.165
2015,3,NV,59579,Sunnova,Preliminary,2.667,0,0,0,2.667
2015,3,NV,59647,Sunrun Inc.,Preliminary,0.719,0,0,0,0.719
2015,3,NY,57313,SolarCity Corporation,Preliminary,30.264,4.114,0.000,0.000,34.370
2015,3,NY,59139,SunEdison LLC,Preliminary,0,5.929,0,0,5.929
2015,3,NY,59579,Sunnova,Preliminary,0.426,0,0,0,0.426
2015,3,NY,59580,"SunPower Capital, LLC",Preliminary,14.715,0,0,0,14.715
2015,3,NY,59624,"Vivint Solar, Inc.",Preliminary,22.270,0.000,0.000,0.000,22.270
2015,3,NY,59647,Sunrun Inc.,Preliminary,15.631,0,0,0,15.631
2015,3,OH,57313,SolarCity Corporation,Preliminary,0.000,5.532,0.000,0.000,5.530
2015,3,OR,57313,SolarCity Corporation,Preliminary,12.818,7.383,0.000,0.000,20.200
2015,3,OR,59139,SunEdison LLC,Preliminary,0,2.248,0,0,2.248
2015,3,OR,59647,Sunrun Inc.,Preliminary,0.016,0,0,0,0.016
2015,3,PA,57313,SolarCity Corporation,Preliminary,0.592,0.081,0.000,0.000,0.670
2015,3,PA,59139,SunEdison LLC,Preliminary,0,8.772,0,0,8.772
2015,3,PA,59579,Sunnova,Preliminary,0.018,0,0,0,0.018
2015,3,PA,59580,"SunPower Capital, LLC",Preliminary,0.638,0,0,0,0.638
2015,3,PA,59647,Sunrun Inc.,Preliminary,0.584,0,0,0,0.584
2015,3,PR,57313,SolarCity Corporation,Preliminary,0.000,0.645,0.000,0.000,0.650
2015,3,PR,59139,SunEdison LLC,Preliminary,0,5.627,0,0,5.627
2015,3,PR,59579,Sunnova,Preliminary,3.660,0,0,0,3.660
2015,3,TX,57313,SolarCity Corporation,Preliminary,6.778,11.794,0.000,0.000,18.570
2015,3,TX,59139,SunEdison LLC,Preliminary,0,0.677,0,0,0.677
2015,3,TX,59579,Sunnova,Preliminary,0.095,0,0,0,0.095
2015,3,UT,57313,SolarCity Corporation,Preliminary,0.000,0.954,0.000,0.000,0.950
2015,3,VT,59580,"SunPower Capital, LLC",Preliminary,2.227,0,0,0,2.227
2015,3,WA,57313,SolarCity Corporation,Preliminary,0.519,0.000,0.000,0.000,0.520
2015,3,WI,59139,SunEdison LLC,Preliminary,0,0.477,0,0,0.477
2015,4,AZ,57313,SolarCity Corporation,Preliminary,133.189,40.918,0.000,0.000,174.110
2015,4,AZ,59139,SunEdison LLC,Preliminary,0,19.448,0,0,19.448
2015,4,AZ,59579,Sunnova,Preliminary,5.108,0,0,0,5.108
2015,4,AZ,59580,"SunPower Capital, LLC",Preliminary,38.724,0,0,0,38.724
2015,4,AZ,59624,"Vivint Solar, Inc.",Preliminary,4.239,0,0,0,4.239
2015,4,AZ,59647,Sunrun Inc.,Preliminary,8.175,0,0,0,8.175
2015,4,CA,57313,SolarCity Corporation,Preliminary,291.741,84.575,0.000,0.000,376.310
2015,4,CA,59139,SunEdison LLC,Preliminary,0,72.037,0,0,72.037
2015,4,CA,59557,RGS Energy,Preliminary,0.293,0.000,0.000,0.000,0.293
2015,4,CA,59579,Sunnova,Preliminary,20.527,0,0,0,20.527
2015,4,CA,59580,"SunPower Capital, LLC",Preliminary,121.555,0,0,0,121.555
2015,4,CA,59624,"Vivint Solar, Inc.",Preliminary,92.867,0,0,0,92.867
2015,4,CA,59647,Sunrun Inc.,Preliminary,172.704,0,0,0,172.704
2015,4,CO,57313,SolarCity Corporation,Preliminary,44.878,10.056,0.000,0.000,54.940
2015,4,CO,59139,SunEdison LLC,Preliminary,0,9.183,0.102,0,9.285
2015,4,CO,59579,Sunnova,Preliminary,0.102,0,0,0,0.102
2015,4,CO,59580,"SunPower Capital, LLC",Preliminary,7.779,0,0,0,7.779
2015,4,CO,59647,Sunrun Inc.,Preliminary,7.379,0,0,0,7.379
2015,4,CT,57313,SolarCity Corporation,Preliminary,14.078,4.745,0.000,0.000,18.830
2015,4,CT,59139,SunEdison LLC,Preliminary,0,3.866,0,0,3.866
2015,4,CT,59579,Sunnova,Preliminary,0.991,0,0,0,0.991
2015,4,CT,59647,Sunrun Inc.,Preliminary,1.945,0,0,0,1.945
2015,4,DC,57313,SolarCity Corporation,Preliminary,0.662,0.000,0.000,0.000,0.660
2015,4,DC,59647,Sunrun Inc.,Preliminary,0.030,0,0,0,0.030
2015,4,DE,57313,SolarCity Corporation,Preliminary,2.562,0.413,0.000,0.000,2.970
2015,4,DE,59647,Sunrun Inc.,Preliminary,1.209,0,0,0,1.209
2015,4,FL,57313,SolarCity Corporation,Preliminary,1.367,0.000,0.000,0.000,1.370
2015,4,FL,59139,SunEdison LLC,Preliminary,0,1.516,0,0,1.516
2015,4,GA,59139,SunEdison LLC,Preliminary,0,6.227,0,0,6.227
2015,4,GU,59579,Sunnova,Preliminary,0.880,0,0,0,0.880
2015,4,HI,57313,SolarCity Corporation,Preliminary,10.081,16.944,0.000,0.000,27.020
2015,4,HI,59139,SunEdison LLC,Preliminary,0,3.107,0,0,3.107
2015,4,HI,59579,Sunnova,Preliminary,0.690,0,0,0,0.690
2015,4,HI,59580,"SunPower Capital, LLC",Preliminary,3.483,0,0,0,3.483
2015,4,HI,59624,"Vivint Solar, Inc.",Preliminary,20.949,0,0,0,20.949
2015,4,HI,59647,Sunrun Inc.,Preliminary,12.483,0,0,0,12.483
2015,4,IN,59579,Sunnova,Preliminary,0.020,0,0,0,0.020
2015,4,LA,59579,Sunnova,Preliminary,0.150,0,0,0,0.150
2015,4,MA,57313,SolarCity Corporation,Preliminary,28.365,3.150,0.000,0.000,31.510
2015,4,MA,59139,SunEdison LLC,Preliminary,0,14.583,0,0,14.583
2015,4,MA,59579,Sunnova,Preliminary,1.156,0,0,0,1.156
2015,4,MA,59580,"SunPower Capital, LLC",Preliminary,1.956,0,0,0,1.956
2015,4,MA,59624,"Vivint Solar, Inc.",Preliminary,26.234,0,0,0,26.234
2015,4,MA,59647,Sunrun Inc.,Preliminary,15.826,0,0,0,15.826
2015,4,MD,57313,SolarCity Corporation,Preliminary,31.375,6.564,0.000,0.000,37.930
2015,4,MD,59139,SunEdison LLC,Preliminary,0,8.102,0,0,8.102
2015,4,MD,59579,Sunnova,Preliminary,0.050,0,0,0,0.050
